ID,PROVINCE,CITY,DISTRICT,WARD,POSTAL_CODE,DATA_UPDATE
54716,SUMATERA SELATAN,KAB. OGAN KOMERING ULU SELATAN,SUNGAI ARE,SEBAJA,32284,
54717,PAPUA PEGUNUNGAN,KAB. TOLIKARA,GOYAGE,YEMARIMA,99415,
54718,LAMPUNG,KOTA BANDAR LAMPUNG,TELUKBETUNG BARAT,NEGERI OLOK GADING,35233,
54719,SULAWESI SELATAN,KAB. LUWU,BELOPA,TAMPUMIA RADDA,91994,
54720,JAWA TIMUR,KAB. KEDIRI,GROGOL,GROGOL,64151,
54721,JAWA TIMUR,KAB. SIDOARJO,SUKODONO,PLUMBUNGAN,61258,
54722,LAMPUNG,KAB. TANGGAMUS,SUMBER REJO,ARGOPENI,35662,
54723,JAWA TIMUR,KAB. LUMAJANG,JATIROTO,JATIROTO,67355,
54724,JAWA TENGAH,KAB. PURBALINGGA,BOBOTSARI,MAJAPURA,53353,
54725,JAWA BARAT,KOTA BANDUNG,CIBEUNYING KIDUL,CICADAS,40126,
54726,JAWA BARAT,KAB. CIREBON,LOSARI,ASTANALANGGAR,45692,
54727,PAPUA PEGUNUNGAN,KAB. JAYAWIJAYA,WALELAGAMA,WALELAGAMA,99521,
54728,LAMPUNG,KAB. WAY KANAN,NEGARA BATIN,ADI JAYA,34772,
54729,JAWA TENGAH,KAB. GROBOGAN,TOROH,DEPOK,58171,
54730,JAWA BARAT,KAB. KARAWANG,JATISARI,PACING,41374,
54731,RIAU,KAB. KEPULAUAN MERANTI,TEBING TINGGI TIMUR,SENDANU DARUL IHSAN,28792,
54732,SULAWESI TENGGARA,KOTA BAU BAU,MURHUM,TANGANAPADA,93725,
54733,JAWA TENGAH,KAB. SEMARANG,BRINGIN,LEBAK,50572,
54734,JAWA TENGAH,KAB. PURWOREJO,BRUNO,BRUNOREJO,54161,
54735,SUMATERA UTARA,KAB. LABUHANBATU UTARA,MARBAU,TUBIRAN,21752,
54736,JAWA TENGAH,KAB. REMBANG,SULANG,KALIOMBO,59254,
54737,SULAWESI TENGGARA,KAB. KONAWE SELATAN,ANDOOLO,ATAKU,93818,
54738,LAMPUNG,KOTA BANDAR LAMPUNG,TANJUNGKARANG PUSAT,PASIR GINTUNG,35113,
54739,LAMPUNG,KAB. TANGGAMUS,ULU BELU,NGARIP,35664,
54740,JAWA TENGAH,KAB. PURBALINGGA,KERTANEGARA,KARANGASEM,53358,
54741,SULAWESI TENGGARA,KAB. MUNA,MALIGANO,LANGKORONI,93671,
54742,JAWA BARAT,KAB. TASIKMALAYA,SINGAPARNA,SINGAPARNA,46411,
54743,SULAWESI SELATAN,KAB. BONE,TANETE RIATTANG,MASUMPU,92714,
54744,LAMPUNG,KAB. TANGGAMUS,SEMAKA,TUGU REJO,35691,
54745,SULAWESI SELATAN,KAB. BULUKUMBA,UJUNGLOE,GARANTA,92551,
54746,JAWA TIMUR,KAB. LUMAJANG,GUCIALIT,GUCIALIT,67353,
54747,KALIMANTAN SELATAN,KAB. TANAH LAUT,BATU AMPAR,DAMAR LIMA,70882,
